Unnamed: 0,Modell,Marke,Garantie,country,Zustand,Zylinder,Kraftstoff,Erstzulassung,Außenfarbe,Innenausstattung,Karosserieform,Anzahl Türen,Sitzplätze,Getriebeart,Gänge,Hubraum,Kraftstoff.1,Schadstoffklasse,haendler,privat,price,predicted_price,zscore
17217,T5 Transporter,Volkswagen,0,Oesterreich,Gebraucht,4.0,Diesel,2006.0,Weiß,Stoff,Kombi,4.0,3.0,Schaltgetriebe,5.0,1.896 cm³,Diesel,Euro 3,1,0,6990.0,6462.367555555595,0.0052985789855251215
17321,T6 California,Volkswagen,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Diesel,2017.0,Grau,"Stoff, Grau",Van/Kleinbus,4.0,4.0,Automatik,0.0,1.968 cm³,Diesel,Euro 6,1,0,58900.0,55638.55466666651,1.6666849837815094
23571,T6 Caravelle,Volkswagen,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,4.0,Diesel,2019.0,Schwarz,"Stoff, Schwarz",Kombi,0.0,9.0,Automatik,7.0,1.968 cm³,Diesel,Euro 6d-TEMP,True,False,37758.0,36898.14415873032,0.19788725751267494
24729,T6 Multivan,Volkswagen,0,Oesterreich,Neu,0.0,Diesel (Rußpartikelfilter),0.0,Grau,"Teilleder, Schwarz",Van/Kleinbus,4.0,7.0,Automatik,0.0,1.968 cm³,Diesel (Rußpartikelfilter),Euro 6d-TEMP,True,False,84195.0,84036.17600000084,0.23085961113527922
23575,T6 Transporter,Volkswagen,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,4.0,Diesel,2019.0,Grau,"Stoff, Schwarz",Transporter,0.0,3.0,Schaltgetriebe,6.0,1.968 cm³,Diesel,Euro 6d-TEMP,True,False,33524.0,32409.757999999896,0.3534683061357764
25965,Tiguan,Volkswagen,0,Oesterreich,Gebraucht,4.0,Diesel,2016.0,Schwarz,"Alcantara, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,7.0,1.968 cm³,Diesel,Euro 6,True,False,24990.0,24989.999999999876,0.32799541675335
25503,Touareg,Volkswagen,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,6.0,Diesel,2017.0,Schwarz,"Vollleder, Beige",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,8.0,2.967 cm³,Diesel,Euro 6,True,False,35990.0,35989.99999999977,0.32799541675328325
25905,Touran,Volkswagen,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,4.0,Diesel,2010.0,Grau,0,Kombi,5.0,5.0,Schaltgetriebe,6.0,1.968 cm³,Diesel,Euro 4,False,True,7999.0,7998.999999999994,0.32799541675342175
9304,Transporter,Volkswagen,0,Deutschland,Tageszulassung,0.0,Diesel (Rußpartikelfilter),2020.0,Schwarz,"Stoff, Grau",Van/Kleinbus,4.0,9.0,Schaltgetriebe,6.0,1.968 cm³,Diesel (Rußpartikelfilter),Euro 6d-TEMP,1,0,34490.0,34284.164000000266,0.20210735395878382
15835,Vento,Volkswagen,0,Deutschland,Gebraucht,0.0,Benzin,1997.0,Grau,"Stoff, Sonstige",Limousine,4.0,5.0,Automatik,0.0,1.781 cm³,Benzin,Euro 2,1,0,2499.0,5455.656000000056,1.4802776559386353
25231,up!,Volkswagen,0,Deutschland,Vorführfahrzeug,3.0,Super 95,2020.0,Blau,"Stoff, Schwarz",Kleinwagen,5.0,4.0,Schaltgetriebe,0.0,999 cm³,Super 95,Euro 6,True,False,14795.0,14794.99999999998,0.3279954167534134
13803,C30,Volvo,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Diesel,2012.0,Grau,"Stoff, Schwarz",Kleinwagen,2.0,4.0,Schaltgetriebe,0.0,1.560 cm³,Diesel,Euro 5,1,0,6490.0,6498.580000000018,0.32274794022462744
11140,S40,Volvo,0,Oesterreich,Gebraucht,4.0,Diesel (Rußpartikelfilter),2011.0,Weiß,Vollleder,Limousine,4.0,5.0,Schaltgetriebe,6.0,1.560 cm³,Diesel (Rußpartikelfilter),Euro 5,0,1,7000.0,7135.416000000026,0.24517580351072518
13597,S60,Volvo,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Diesel,2014.0,Schwarz,"Teilleder, Schwarz",Limousine,4.0,5.0,Automatik,0.0,1.984 cm³,Diesel,Euro 5,1,0,13990.0,13969.134000000106,0.3152338963281205
9009,S70,Volvo,0,Oesterreich,Gebraucht,5.0,Diesel,1997.0,Silber,0,Limousine,4.0,5.0,Schaltgetriebe,5.0,2.461 cm³,Diesel,0,0,1,350.0,533.2780000000043,0.21590369143372087
11137,S80,Volvo,0,Oesterreich,Gebraucht,5.0,Diesel,2003.0,Silber,"Vollleder, Beige",Limousine,4.0,5.0,Schaltgetriebe,5.0,2.401 cm³,Diesel,0,1,0,1450.0,1561.0719999999926,0.260064447871677
