url;country;date;Zustand;Marke;Modell;Erstzulassung;Außenfarbe;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;haendler;privat;ort;price;ausstattung_liste
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/audi-a4-1-9-tdi-pickerl-neu-zahnriemen-neu-diesel-silber-1ead09b2-002f-a664-e053-0100007fb089?;Oesterreich;2020-10-19 19:26:21.923170;Gebraucht;Audi;A4;2006;Silber;Kombi;5;5;Schaltgetriebe;5;1.896 cm³;4;1.450 kg;Diesel;5,7 l/100 km (komb)7,6 l/100 km (innerorts)4,6 l/100 km (außerorts);154 g CO2/km (komb);Euro 4;False;True;6200 Jenbach;4490;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Nebelscheinwerfer', 'Notrad', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank']
/angebote/peugeot-407-sw-classic-1-6-hdi-110-fap-diesel-blau-571608b2-9e2c-6145-e053-0100007fd0b1?;Oesterreich;2020-10-19 19:26:21.932098;Gebraucht;Peugeot;407;2004;Blau;Kombi;5;5;Schaltgetriebe;5;1.560 cm³;4;1.492 kg;Diesel;5,6 l/100 km (komb)7,2 l/100 km (innerorts)4,7 l/100 km (außerorts);148 g CO2/km (komb);;True;False;8073 Feldkirchen bei Graz;999;['', 'ABS', 'Armlehne', 'Beifahrerairbag', 'Bordcomputer', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Nebelscheinwerfer', 'Reserverad', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank']
/angebote/mercedes-benz-a-160-blueefficiency-benzin-silber-da190ab2-35c7-670d-e053-0100007f510b?;Oesterreich;2020-10-19 19:26:21.926839;Gebraucht;Mercedes-Benz;A 160;2009;Silber;;5;5;Schaltgetriebe;;;;;Benzin;;;;False;True;4470 Enns;3990;['', 'ABS', 'Beifahrerairbag', 'Bordcomputer', 'Elektrische Seitenspiegel', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Komfort', 'Multifunktionslenkrad', 'Radio', 'Sicherheit', 'Unterhaltung/Media', 'Zentralverriegelung']
