url;country;date;Zustand;Marke;Modell;Erstzulassung;Außenfarbe;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;haendler;privat;ort;price;ausstattung_liste;Fahrzeughalter;HU Prüfung;Letzter Kundendienst;Scheckheftgepflegt;Nichtraucherfahrzeug;Innenausstattung;Antriebsart;Garantie;Angebotsnummer;Lackierung;Farbe laut Hersteller;Schlüsselnummer;Feinstaubplakette;Länderversion
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/mercedes-benz-c-200-d-avantgarde-diesel-blau-7b9d09b2-1a85-ba5a-e053-0100007fe20a?;Oesterreich;2020-10-19 19:32:10.390411;Gebraucht;Mercedes-Benz;C 200;2017;Blau;Limousine;4;5;Schaltgetriebe;6;1.598 cm³;4;1.485 kg;Diesel (Rußpartikelfilter);3,8 l/100 km (komb);101 g CO2/km (komb);Euro 6;False;True;2000 Stockerau;17990;['', 'ABS', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Elektrische Sitze', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Notrufsystem', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Sicherheit', 'Soundsystem', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media'];;;;;;;;;;;;;;
/angebote/volkswagen-golf-variant-rabbit-1-6-tdi-diesel-weiss-724e0ab2-7c13-1f23-e053-0100007f3886?;Oesterreich;2020-10-19 19:32:10.392443;Gebraucht;Volkswagen;Golf Variant;2017;Weiß;Kombi;5;5;Schaltgetriebe;5;1.598 cm³;4;1.395 kg;Diesel (Rußpartikelfilter);5 l/100 km (komb);103 g CO2/km (komb);Euro 6;False;True;2000 Stockerau;13100;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank'];2;01/2022;02/2020;;;Stoff, Grau;Front;;;;;;;
/angebote/citroen-jumper-diesel-weiss-18600ab2-e014-dc2a-e053-0100007f49cc?;Oesterreich;2020-10-19 19:32:10.388640;Gebraucht;Citroen;Jumper;1996;Weiß;Transporter;;;;;;;;Diesel;;;;False;True;4101 Feldkirchen an der Donau;6000;[];;;;;;;;;;;;;;
/angebote/volkswagen-tiguan-2-0-tdi-dsg-4mo-highline-r-line-20-navi-navi-bc-diesel-weiss-6d6654d2-3674-423d-aeec-dc6439097c48?;Oesterreich;2020-10-19 19:32:10.377757;Gebraucht;Volkswagen;Tiguan;2019;Weiß;SUV/Geländewagen/Pickup;5;5;Automatik;7;1.968 cm³;;;Diesel (Rußpartikelfilter);5,6 l/100 km (komb)6,4 l/100 km (innerorts)5,1 l/100 km (außerorts);189 g CO2/km (komb);Euro 6;True;False;1100 Wien;53619;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sprachsteuerung', 'Spurhalteassistent', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];1;06/2022;;;;Schwarz;Allrad;;43142MUE_V;Metallic;oryxweiß;0603/BZJ;4 (Grün);
/angebote/ford-galaxy-titanium-2-2-tdci-dpf-neues-57a-gutachten-diesel-schwarz-ca817204-ac64-46cd-b071-5128c22e9297?;Oesterreich;2020-10-19 19:32:10.363180;Gebraucht;Ford;Galaxy;2008;Schwarz;Van/Kleinbus;5;7;Schaltgetriebe;6;2.179 cm³;4;1.975 kg;Diesel (Rußpartikelfilter);6,7 l/100 km (komb)9,1 l/100 km (innerorts)5,3 l/100 km (außerorts);179 g CO2/km (komb);Euro 4;True;False;2291 Lassee;5999;['', 'ABS', 'Abstandstempomat', 'Airbag hinten', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Bi-Xenon Scheinwerfer', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Elektronische Parkbremse', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Innenspiegel automatisch abblendend', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Massagesitze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Panoramadach', 'Radio', 'Raucherpaket', 'Regensensor', 'Reserverad', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];4;;;;;Teilleder, Schwarz;Front;;;Metallic;Obsidian-Schwarz Metallic;;;Österreich
/angebote/seat-altea-xl-chilitech-start-stopp-1-6-cr-tdi-diesel-grau-80570ab2-bde6-5928-e053-0100007fb1e8?;Oesterreich;2020-10-19 19:32:10.356428;Gebraucht;SEAT;Altea XL;2015;Grau;Kombi;5;5;Schaltgetriebe;;;;;Diesel;;;;False;True;8200 Gleisdorf;10500;['', 'ABS', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Tagfahrlicht', 'Tempomat', 'Unterhaltung/Media', 'Zentralverriegelung'];1;;;;;;;;;Metallic;;;;
/angebote/volkswagen-golf-8-1-5-etsi-dsg-r-line-5-j-garantie-navi-alu-led-benzin-grau-6c285f92-2370-4b04-a551-a321375c9358?;Oesterreich;2020-10-19 19:32:10.386477;Neu;Volkswagen;Golf;;Grau;Limousine;5;5;Automatik;7;1.498 cm³;;;Benzin;4,7 l/100 km (komb)6 l/100 km (innerorts)4 l/100 km (außerorts);134 g CO2/km (komb);Euro 6;True;False;1100 Wien;38818;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Komfort', 'LED-Scheinwerfer', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;Schwarz;;;15463MUE_V;;mondsteingrau;;4 (Grün);Deutsche Ausführung
